Debut_pluie,Fin_pluie,CumulRadar,IRadar,CumulBassin,IBassin,Debut_montee,Fin_montee,Qdeb,Qfin,Gradient,Tps repRadar,Tps repBassin,Observation,Duree
,,(mm),(mm/h),(mm),(mm/h),,,(cm),(cm),cm/h,,,,Heures
13/02/1997 22:00,14/02/1997 23:00,23.2,0.9,,,14/02/1997 01:00,15/02/1997 07:00,10.2,40,0.993,18.8,,,25
24/02/1997 17:00,25/02/1997 07:00,8.1,0.6,,,24/02/1997 23:00,25/02/1997 13:00,14.8,19.6,0.343,13.8,,,14
17/02/1997 17:00,18/02/1997 09:00,13.2,0.8,,,18/02/1997 06:00,18/02/1997 18:00,23.4,28.1,0.392,17.5,,,16
24/12/1997 09:00,24/12/1997 17:00,11.2,1.4,,,24/12/1997 15:00,25/12/1997 00:00,6.13,19.6,1.5,11.1,,,8
25/12/1997 07:00,25/12/1997 16:00,9.4,1,,,25/12/1997 14:00,26/12/1997 01:00,9.71,20.3,0.963,13.2,,,9
26/12/1997 21:00,27/12/1997 15:00,9.5,0.5,,,27/12/1997 03:00,27/12/1997 17:00,13.5,19.3,0.414,12.4,,,18
30/12/1997 21:00,31/12/1997 06:00,9.6,1.1,,,31/12/1997 04:00,31/12/1997 13:00,9.01,17.8,0.977,11.2,,,9
01/01/1998 17:00,02/01/1998 13:00,22.5,1.1,,,01/01/1998 21:00,02/01/1998 18:00,7.23,28.8,1.03,16.4,,,20
15/01/1998 01:00,15/01/1998 16:00,13.3,0.9,,,15/01/1998 07:00,15/01/1998 20:00,7.88,20.3,0.955,13.5,,,15
18/01/1998 05:00,18/01/1998 23:00,16.9,0.9,,,18/01/1998 08:00,19/01/1998 04:00,12.1,31.5,0.97,15.1,,,18
23/10/1998 04:00,23/10/1998 11:00,21.6,3.1,,,23/10/1998 11:00,23/10/1998 21:00,3.57,18,1.44,13.4,,,7
24/10/1998 08:00,25/10/1998 00:00,51.2,3.2,,,24/10/1998 14:00,25/10/1998 06:00,8.08,104,6,15,,,16
28/10/1998 06:00,29/10/1998 02:00,25.4,1.3,,,28/10/1998 08:00,29/10/1998 11:00,21.2,47.3,0.967,18.8,,,20
29/10/1998 20:00,30/10/1998 12:00,15.4,1,,,30/10/1998 05:00,30/10/1998 19:00,33.8,38.7,0.35,15,,,16
31/10/1998 09:00,01/11/1998 01:00,23.9,1.5,,,31/10/1998 17:00,01/11/1998 10:00,35.5,78.3,2.52,16,,,16
08/12/1998 11:00,09/12/1998 08:00,18.5,0.9,,,09/12/1998 04:00,09/12/1998 14:00,6.33,20.2,1.39,14.5,,,21
19/12/1998 18:00,20/12/1998 08:00,27.5,2,,,20/12/1998 04:00,20/12/1998 19:00,8.96,42.6,2.24,16.9,,,14
26/12/1998 10:00,27/12/1998 08:00,30,1.4,,,26/12/1998 15:00,27/12/1998 16:00,14.8,53.9,1.56,19.9,,,22
02/01/1999 03:00,02/01/1999 08:00,10.1,2,,,02/01/1999 08:00,02/01/1999 16:00,20.5,29.2,1.09,10.5,,,5
07/01/1999 16:00,08/01/1999 01:00,7.9,0.9,,,07/01/1999 22:00,08/01/1999 10:00,18.8,27.8,0.75,13,,,9
07/01/1999 00:00,07/01/1999 08:00,6.1,0.8,,,07/01/1999 04:00,07/01/1999 10:00,16.8,20.1,0.55,6,,,8
12/01/1999 11:00,12/01/1999 19:00,10,1.3,,,12/01/1999 15:00,13/01/1999 03:00,19.4,30.9,0.958,12.1,,,8
15/01/1999 17:00,16/01/1999 17:00,27.2,1.1,,,16/01/1999 01:00,17/01/1999 02:00,23.5,58.5,1.4,19.1,,,24
20/01/1999 15:00,21/01/1999 02:00,9.3,0.8,,,20/01/1999 19:00,21/01/1999 07:00,24.7,31.3,0.55,11,,,11
25/01/1999 12:00,25/01/1999 23:00,13.1,1.2,,,25/01/1999 18:00,26/01/1999 05:00,22.3,33.3,1,11.5,,,11
26/01/1999 18:00,26/01/1999 22:00,10,2.5,,,26/01/1999 20:00,27/01/1999 07:00,26.4,35.6,0.836,10.7,,,4
08/02/1999 07:00,08/02/1999 20:00,20.3,1.6,,,08/02/1999 15:00,09/02/1999 04:00,8.52,32.1,1.81,12.7,,,13
19/02/1999 00:00,20/02/1999 08:00,27.7,0.9,,,19/02/1999 09:00,20/02/1999 15:00,7.77,34.7,0.898,21.8,,,32
23/02/1999 21:00,24/02/1999 06:00,16,1.8,,,24/02/1999 01:00,24/02/1999 14:00,17.5,34.3,1.29,11.2,,,9
